District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax
Abbotsford,MP,Ed Fast,Ed,Fast,M,Conservative,ed.fast@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FastEd_CPC.jpg,https://www.ourcommons.ca/Members/en/ed-fast(35904),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 995-0183,1 613 996-9795,constituency,"Main office - Abbotsford
2825 Clearbrook Road

Suite 205
Abbotsford BC  V2T 6S3",1 604 557-7888,1 604 557-9918
Abitibi—Baie-James—Nunavik—Eeyou,MP,Sylvie Bérubé,Sylvie,Bérubé,F,Bloc Québécois,Sylvie.Berube@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BérubéSylvie_BQ.jpg,https://www.ourcommons.ca/Members/en/sylvie-berube(104622),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-3030,1 613 996-0828,constituency,"Main office - Val-d'Or
888 3rd Avenue
Suite 204
Val-d'Or QC  J9P 5E6",1 819 824-2942,1 819 824-2958,constituency,"Lebel-sur-quevillon
75 Quévillon Place
Lebel-sur-quevillon QC  J0Y 1X0",,1 819 824-2958,constituency,"Chibougamau
124 des Forces Armées Street
Chibougamau QC  G8P 3A1",,1 819 824-2958
Abitibi—Témiscamingue,MP,Sébastien Lemire,Sébastien,Lemire,M,Bloc Québécois,Sebastien.Lemire@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LemireSébastien_BQ.jpg,https://www.ourcommons.ca/Members/en/sebastien-lemire(104630),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 996-3250,1 613 992-3672,constituency,"Main office - Rouyn-Noranda
33-A Gamble Street West
RC 15
Rouyn-Noranda QC  J9X 2R3",1 800 567-6433,1 819 762-8732
Acadie—Bathurst,MP,Serge Cormier,Serge,Cormier,M,Liberal,Serge.Cormier@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CormierSerge_Lib.jpg,https://www.ourcommons.ca/Members/en/serge-cormier(88350),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-2165,1 613 992-4558,constituency,"Main office - Caraquet
220 St-Pierre Blvd West
Suite 314
Caraquet NB  E1W 1A5",1 800 992-5699,1 506 726-5394,constituency,"Bathurst
270 Douglas Ave
Suite 305
Bathurst NB  E2A 1M9",1 506 350-5398,1 506 546-3045
Ahuntsic-Cartierville,MP,Mélanie Joly,Mélanie,Joly,F,Liberal,Melanie.Joly@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JolyMélanie_Lib.jpg,https://www.ourcommons.ca/Members/en/melanie-joly(88384),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-0983,1 613 992-1932,constituency,"Main office - Montréal
225 Chabanel West
Suite 1109
Montréal QC  H2N 2C9",1 514 383-3709,1 514 383-3589
Ajax,MP,Mark Holland,Mark,Holland,M,Liberal,Mark.Holland@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HollandMark_Lib.jpg,https://www.ourcommons.ca/Members/en/mark-holland(25508),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 995-8042,1 613 996-1289,constituency,"Main office - Ajax
100 Old Kingston Road
Suite 1
Ajax ON  L1T 2Z9",1 905 426-6808,1 905 426-9564
Alfred-Pellan,MP,Angelo Iacono,Angelo,Iacono,M,Liberal,Angelo.Iacono@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/IaconoAngelo_Lib.jpg,https://www.ourcommons.ca/Members/en/angelo-iacono(71337),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-0611,1 613 992-8556,constituency,"Main office - Laval
3131 de la Concorde East
Suite 300
Laval QC  H7E 4W4",1 450 661-4117,1 450 661-5623
Algoma—Manitoulin—Kapuskasing,MP,Carol Hughes,Carol,Hughes,F,NDP,carol.hughes@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HughesCarol_NDP.jpg,https://www.ourcommons.ca/Members/en/carol-hughes(31289),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 996-5376,1 613 995-6661,constituency,"Main office - Elliot Lake
289-A Hillside Drive South
Elliot Lake ON  P5A 1N7",1 705 848-8080,1 705 848-1818,constituency,"Kapuskasing
12-B Byng Road
Kapuskasing ON  P5N 1W3",1 705 335-5533,1 705 337-6869
Argenteuil—La Petite-Nation,MP,Stéphane Lauzon,Stéphane,Lauzon,M,Liberal,Stephane.Lauzon@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LauzonStéphane_Lib.jpg,https://www.ourcommons.ca/Members/en/stephane-lauzon(88394),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-0902,1 613 992-2935,constituency,"Gatineau
104 Maclaren Street East
Gatineau QC  J8L 1K1",1 819 281-2626,1 819 281-2755,constituency,"Main office - Lachute
505 Bethany Avenue
Suite 204
Lachute QC  J8H 4A6",1 450 562-0737,1 450 562-2527
Aurora—Oak Ridges—Richmond Hill,MP,Leona Alleslev,Leona,Alleslev,F,Conservative,Leona.Alleslev@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AlleslevLeona_CPC.jpg,https://www.ourcommons.ca/Members/en/leona-alleslev(88671),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-0700,1 613 992-0716,constituency,"Main office - Richmond Hill
12820 Yonge Street
Suite 202
Richmond Hill ON  L4E 4H1",1 905 773-8358,1 905 773-8374
Avalon,MP,Ken McDonald,Ken,McDonald,M,Liberal,Ken.McDonald@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McDonaldKen_Lib.jpg,https://www.ourcommons.ca/Members/en/ken-mcdonald(88283),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-4133,1 613 992-7277,constituency,"Main office - Conception Bay South
120 Conception Bay Highway
Suite 105
Conception Bay South NL  A1W 3A6",1 709 834-3424,1 709 834-3628
Avignon—La Mitis—Matane—Matapédia,MP,Kristina Michaud,Kristina,Michaud,F,Bloc Québécois,Kristina.Michaud@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MichaudKristina_BQ.jpg,https://www.ourcommons.ca/Members/en/kristina-michaud(104648),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 995-1013,1 613 995-5184,constituency,"Main office - Amqui
35 Saint-Benoit Boulevard East
Amqui QC  G5J 2B8",1 418 629-6456,1 418 629-1204,constituency,"Matane
159 Saint-Pierre Street

Unit 303
Matane QC  G4W 2B8",1 418 562-0343,1 418 562-7655,constituency,"Carleton
598E Perron Boulevard
Carleton QC  G0C 1J0",1 418 364-6254,1 418 364-6782,constituency,"Price
18 Oscar-Fournier Street
Price QC  G0J 1Z0",1 418 429-9278,1 418 364-6782
Banff—Airdrie,MP,Blake Richards,Blake,Richards,M,Conservative,blake.richards@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RichardsBlake_CPC.jpg,https://www.ourcommons.ca/Members/en/blake-richards(59235),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 996-5152,1 613 947-4601,constituency,"Main office - Airdrie
620 - 1st Avenue NW

Suite 16
Airdrie AB  T4B 2R3",1 403 948-5103,1 403 948-0879
Barrie—Innisfil,MP,John Brassard,John,Brassard,M,Conservative,John.Brassard@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BrassardJohn_CPC.jpg,https://www.ourcommons.ca/Members/en/john-brassard(88674),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-3394,1 613 996-7923,constituency,"Main office - Barrie
480 Huronia Road
Suite 204-B
Barrie ON  L4N 6M2",1 705 726-5959,1 705 726-3340
Barrie—Springwater—Oro-Medonte,MP,Doug Shipley,Doug,Shipley,M,Conservative,Doug.Shipley@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ShipleyDoug_CPC.jpg,https://www.ourcommons.ca/Members/en/doug-shipley(105031),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-0718,1 613 992-0745,constituency,"Main office - Barrie
48 Alliance Blvd
Suite 104
Barrie ON  L4M 5K3",1 705 728-2596,1 705 728-9465
Battle River—Crowfoot,MP,Damien C. Kurek,Damien C.,Kurek,M,Conservative,Damien.Kurek@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KurekDamien_CPC.jpg,https://www.ourcommons.ca/Members/en/damien-c-kurek(105614),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 947-4608,1 613 947-4611,constituency,"Main office - Camrose
4945 - 50th Street
Camrose AB  T4V 1P9",1 780 608-4600,1 780 608-4603,constituency,"Consort
4809 - 50th Street
Consort AB  T0C 1B0",,1 780 608-4603
Battlefords—Lloydminster,MP,Rosemarie Falk,Rosemarie,Falk,F,Conservative,Rosemarie.Falk@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FalkRosemarie_CPC.jpg,https://www.ourcommons.ca/Members/en/rosemarie-falk(98749),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 995-7080,1 613 996-8472,constituency,"Main office - Lloydminster
4304 - 40th Avenue
Suite 3
Lloydminster SK  S9V 2H1",1 306 825-5005,1 613 996-8472
Bay of Quinte,MP,Neil R. Ellis,Neil R.,Ellis,M,Liberal,Neil.Ellis@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/EllisNeil_Lib.jpg,https://www.ourcommons.ca/Members/en/neil-r-ellis(88683),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-0752,1 613 992-0759,constituency,"Main office - Belleville
250 Sidney Street
Belleville ON  K8P 5L6",1 613 969-3300,1 613 969-3313
Beaches—East York,MP,Nathaniel Erskine-Smith,Nathaniel,Erskine-Smith,M,Liberal,Nathaniel.Erskine-Smith@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ErskineSmithNathaniel_Lib.jpg,https://www.ourcommons.ca/Members/en/nathaniel-erskine-smith(88687),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-2115,1 613 996-7942,constituency,"Main office - Toronto
1902 Danforth Avenue
Toronto ON  M4C 1J4",1 416 467-0860,1 416 467-0905
Beauce,MP,Richard Lehoux,Richard,Lehoux,M,Conservative,Richard.Lehoux@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LehouxRichard_CPC.jpg,https://www.ourcommons.ca/Members/en/richard-lehoux(104653),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-8053,1 613 995-0687,constituency,"Main office - Sainte-Marie de Beauce
250 Vachon North Boulevard
Suite 201
Sainte-Marie de Beauce QC  G6E 4G3",1 418 387-4224,1 418 387-8124,constituency,"Saint-Georges
9006 Lacroix Boulevard
Suite 105
Saint-Georges QC  G5Y 5P4",1 418 227-2171,1 418 227-3093
Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,MP,Caroline Desbiens,Caroline,Desbiens,F,Bloc Québécois,Caroline.Desbiens@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DesbiensCaroline_BQ.jpg,https://www.ourcommons.ca/Members/en/caroline-desbiens(104715),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 995-9732,1 613 996-2656,constituency,"Main office - Ste-Anne-de-Beaupré
9749 Sainte-Anne Blvd.
Suite 160
Ste-Anne-de-Beaupré QC  G0A 3C0",1 418 827-6776,1 418 827-7077,constituency,"La Malbaie
735 De Comporté Blvd
102-102.1
La Malbaie QC  G5A 1T1",1 418 665-6566,1 418 665-6166
